Model,Train_%,Train_samples,Test_samples,Accuracy,Precision,Recall,F1,Specificity,Sensitivity,FPR,FNR,NPV,FDR,MCC
Naive Bayes,50,12,12,0.4166666666666667,0.42857142857142855,0.5,0.4615384615384615,0.3333333333333333,0.5,0.6666666666666666,0.5,0.4,0.5714285714285714,-0.1690308509457033
SVM,50,12,12,0.4166666666666667,0.42857142857142855,0.5,0.4615384615384615,0.3333333333333333,0.5,0.6666666666666666,0.5,0.4,0.5714285714285714,-0.1690308509457033
Logistic Regression,50,12,12,0.5,0.5,0.8333333333333334,0.625,0.16666666666666666,0.8333333333333334,0.8333333333333334,0.16666666666666666,0.5,0.5,0.0
Naive Bayes,60,14,10,0.7,1.0,0.4,0.5714285714285715,1.0,0.4,0.0,0.6,0.625,0.0,0.5
SVM,60,14,10,0.8,0.8,0.8,0.8000000000000002,0.8,0.8,0.2,0.2,0.8,0.2,0.6
Logistic Regression,60,14,10,0.7,0.6666666666666666,0.8,0.7272727272727272,0.6,0.8,0.4,0.2,0.75,0.3333333333333333,0.408248290463863
Naive Bayes,70,16,8,0.375,0.4,0.5,0.4444444444444445,0.25,0.5,0.75,0.5,0.3333333333333333,0.6,-0.2581988897471611
SVM,70,16,8,0.5,0.5,0.75,0.6,0.25,0.75,0.75,0.25,0.5,0.5,0.0
Logistic Regression,70,16,8,0.5,0.5,0.75,0.6,0.25,0.75,0.75,0.25,0.5,0.5,0.0
Naive Bayes,80,19,5,0.6,0.5,0.5,0.5,0.6666666666666666,0.5,0.3333333333333333,0.5,0.6666666666666666,0.5,0.16666666666666666
SVM,80,19,5,0.8,0.6666666666666666,1.0,0.8,0.6666666666666666,1.0,0.3333333333333333,0.0,1.0,0.3333333333333333,0.6666666666666666
Logistic Regression,80,19,5,0.6,0.5,1.0,0.6666666666666666,0.3333333333333333,1.0,0.6666666666666666,0.0,1.0,0.5,0.4082482904638631
